Processes: 305 total, 2 running, 303 sleeping, 1508 threads 
2020/10/06 14:30:01
Load Avg: 2.62, 4.03, 4.61 
CPU usage: 14.10% user, 34.61% sys, 51.28% idle 
SharedLibs: 154M resident, 52M data, 12M linkedit.
MemRegions: 166522 total, 1671M resident, 54M private, 854M shared.
PhysMem: 7826M used (3311M wired), 365M unused.
VM: 1420G vsize, 1993M framework vsize, 63112809(0) swapins, 66284402(0) swapouts.
Networks: packets: 121442898/137G in, 57233235/8970M out.
Disks: 53236517/850G read, 42358067/717G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT    MSGRECV    SYSBSD    SYSMACH    CSW       PAGEINS IDLEW     POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
61264  login            0.0  00:00.07 2     1   31     1068K 0B    1056K 61264 61263 sleeping *0[9]       0.00000 0.00000    0   1450      181     121        30         14811     246        741       30      1         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
61263  Terminal         0.0  00:21.16 9     4   264    165M  28K   8536K 61263 1     sleeping *0[483]     0.00000 0.00000    501 493853    736     78586      20025      68281     211002     128367    4377    1046      0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61245  Google Chrome He 0.0  00:03.14 7     1   64     34M   0B    21M   59225 59225 sleeping *0[3]       0.00000 0.00000    501 35686     1969    28857      13651      64138     42864      44999     741     46        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61244  Google Chrome He 0.0  00:59.21 13    1   135    87M   0B    20M   59225 59225 sleeping *0[6]       0.00000 0.00000    501 183889    2037    185015     111283     255034    532896     620203    299     2313      0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61242  QuickLookSatelli 0.0  00:00.15 2     1   49     5328K 0B    5276K 61242 1     sleeping *0[1]       0.00000 0.00000    501 7055      276     194        49         1649      725        1181      115     1         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61241  Google Chrome He 0.0  00:00.36 13    1   117    20M   0B    18M   59225 59225 sleeping *0[3]       0.00000 0.00000    501 18717     1971    3560       1718       4831      9974       6196      1739    77        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61205  AudioComponentRe 0.0  00:00.15 2     1   64     4220K 0B    3808K 61205 1     sleeping *0[6]       0.00000 0.00000    501 4144      320     241        69         7151      559        913       26      0         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61203  spindump_agent   0.0  00:00.01 2     1   42     952K  0B    624K  61203 1     sleeping *0[5]       0.00000 0.00000    501 1221      150     213        55         562       414        182       2       0         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61202  spindump         0.0  00:00.22 2     1   54     10M   0B    9048K 61202 1     sleeping *0[1]       0.00000 0.00000    0   12659     234     1122       415        5342      1761       2580      1091    0         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
61200  iconservicesd    0.0  00:00.02 2     1   24     2416K 0B    2404K 61200 1     sleeping *0[3]       0.00000 0.00000    240 1532      139     96         36         533       180        145       0       0         0.0   0      0      _iconservices      N/A    N/A   N/A   N/A   N/A   N/A  
61199  amfid            0.0  00:00.37 2     1   42     21M   0B    20M   61199 1     sleeping *0[1]       0.00000 0.00000    0   10098     158     276        72         4092      623        1469      8       1         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
61197  zoom.us          0.0  27:21.21 71    8   1572   281M  2700K 155M  61197 1     sleeping *0[769]     0.00000 0.00000    501 29426117  2620    13908170   8776544    24496538  20379994   25425366  6768    911136    0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
